章節,題號,題目,選項(A),選項(B),選項(C),選項(D),正確答案
第一章 民用航空法及相關法規,21,航空站或飛行場四周之一定距離範圍係由哪個機關進行公告？,民航局。,衛福部。,內政部。,文化部。,A
第一章 民用航空法及相關法規,22,直轄市、縣(市)政府依民航法第 99條之 13第2項所規範之區域內，得依公益及安全 需要，進行哪些項目之公告？,遙控無人機活動區域。,遙控無人機活動時間。,其他管理事項。,以上皆是。,D
第一章 民用航空法及相關法規,23,中央主管機關認有禁止或限制遙控無人機飛航活動需求者，得提請所在地哪個機關進行 公告？,鄉鎮區公所。,直轄市、縣(市)政府。,地方派出所。,地方農會。,B
第一章 民用航空法及相關法規,24,政府機關(構) 、學校或法人因執行業務需於禁、限航區及航空站或飛行場四周一定距離 範圍內從事遙控無人機飛航活動者，應申請何者會商目的事業主管機關同意後，始得為 之？,鄉鎮區公所。,衛福部。,民航局。,科技部。,C
第一章 民用航空法及相關法規,25,政府機關(構) 、學校或法人因執行業務需於直轄市、縣(市)政府所公告之遙控無人機 活動區域、時間及其他管理事項外從事飛航活動者，應申請何者會商相關中央主管機關 同意後，始得為之？,直轄市、縣(市)政府。,衛福部。,農委會。,交通部。,A
第一章 民用航空法及相關法規,26,遙控無人機未 經同意飛入禁航區、限航區，得由何者採取適當措施予以制止或排除？,交通警察大隊。,禁航區、限航區之管理人。,鄉鎮區公所。,地方派出所。,B
第一章 民用航空法及相關法規,27,遙控無人機未經同意飛入航空站或飛行場四周之一定距離範圍內者，航空站、飛行場之 經營人或管理人得會同何者予以取締？,當地里長。,地方派出所。,航空警察局。,交通警察大隊。,C
第一章 民用航空法及相關法規,28,遙控無人機未經同意飛入直轄市、縣(市)政府所公告之活動區域、時間及其他管理事 項外者，得由何者進行取締？,直轄市、縣(市)政府。,鄉鎮區公所。,地方派出所。,衛福部。,A
第一章 民用航空法及相關法規,29,從事休閒娛樂用途之遙控無人機活動，其飛航實際高度不得逾距地面或水面多少高度？,800呎。,400呎。,200呎。,100呎。,B
第一章 民用航空法及相關法規,30,從事遙控無人機飛航活動，非經民航局核准不得執行下列何者行為？,以信號鏈路進行飛航控制。,以自動駕駛操作。,投擲或噴灑任何物件。,其他經民航局同意之操作。,C
第一章 民用航空法及相關法規,31,從事遙控無人機飛航活動，不得裝載哪種物品？,光學酬載。,飛航所需燃油或電池。,民用航空法所公告之危險物品。,調整重心所需之配重塊。,C
第一章 民用航空法及相關法規,32,哪個機關負責訂定從事遙控無人機飛航活動所應遵守之規範？,衛福部。,交通部。,內政部。,文化部。,B
第一章 民用航空法及相關法規,33,從事休閒娛樂用途之遙控無人機不得於下列哪個區域進行飛航活動？,人群聚集或室外集會遊行上空。,經地方政府同意開放無人機活動之公園綠地。,經地方政府同意開放無人機活動之人煙稀少區。,經地方政府同意開放無人機活動之河灘地。,A
第一章 民用航空法及相關法規,34,從事休閒娛樂用途之遙控無人機不得於下列哪個時間進行飛航活動？,日落後至日出前。,日出後。,正中午。,無特別規定。,A
第一章 民用航空法及相關法規,35,操作人於從事休閒娛樂用途之遙控無人機飛航活動時，最多得同時控制幾架遙控無人 機？,1架。,2架。,5架。,10架以上。,A
第一章 民用航空法及相關法規,36,操作人於從事遙控無人機飛航活動期間，應留意下列何者？,遙控無人機之販售包裝。,遙控無人機之外觀造型。,遙控無人機飛航及其周遭狀況。,以上皆非。,C
第一章 民用航空法及相關法規,37,從事遙控無人機飛航活動時，應防止其與何者之接近或碰撞？,其他航空器。,建築物。,人群。,以上皆是。,D
第一章 民用航空法及相關法規,38,政府機關(構) 、學校或法人欲執行遙控無人機法規所訂之操作限制者，得檢附相關文書 並向下列何者申請核准後為之？,直轄市、縣(市)政府。,民航局。,警察機關。,衛福部。,B
第一章 民用航空法及相關法規,39,政府機關(構) 、學校或法人經民航局核准得於「人群聚集或室外集會遊行上空」進行飛 航活動者，其活動場地部分仍應取得何者之同意？,直轄市、縣(市)政府及相關中央主管機關。,直轄市、縣(市)政府。,相關中央主管機關。,當地派出所。,A
第一章 民用航空法及相關法規,40,操作遙控無人機發生下列哪種情形時，遙控無人機所有人應負賠償責任？,故意致他人死傷。,過失致他人死傷。,故意或過失毀損他人財物。,以上皆是。,D
第一章 民用航空法及相關法規,41,遙控無人機所有人將其遙控無人機交由他人進行操作而不慎墜落傷人，應由何人負連帶 賠償責任？,所有人及旁觀人。,所有人及設計者。,所有人及操作人。,所有人及製造者。,C
第一章 民用航空法及相關法規,42,政府機關(構) 、學校或法人於從事民航局核准之遙控無人機飛航活動前，應依法投保責 任保險，係依據何法所定之內容？,保險法。,民用航空 法。,民法。,勞動基準法。,B
第一章 民用航空法及相關法規,43,遙控無人機所有人或操作人違反「禁航區、限航區及航空站或飛行場四周之一定距離範 圍內從事飛航活動」之相關規定者，民航局除廢止其操作證並得沒入遙控無人機外，另 處多少新臺幣之罰鍰？,3萬元以上 18萬元以下。,5萬元以上 28萬元以下。,10萬元以上 48萬元以下。,30萬元以上 150萬元以下。,D
第一章 民用航空法及相關法規,44,遙控無人機所有人或操作人違反「不得逾距地面或水面高度 400呎從事飛航活動」之規 定者，民航局除廢止其操作證並得沒入遙控無人機外，另處多少新臺幣之罰鍰？,30萬元以上 150萬元以下。,1萬元以上 10萬元以下。,20萬元以上 50萬元以下。,5萬元以上 30萬元以下。,A
第一章 民用航空法及相關法規,45,遙控無人機之所有人或操作人違反「未領有操作證而操作遙控無人機」之規定者，除禁 止其活動，情節重大者並得沒入遙控無人機外，另處多少新臺幣之罰鍰？,1萬元以上 8萬元以下。,3萬元以上 18萬元以下。,6萬元以上 30萬元以下。,8萬元以上 38萬元以下。,C
第一章 民用航空法及相關法規,46,遙控無人機之所有人或操作人違反「未投保或未足額投保責任保險而從事遙控無人機活 動」之規定者，除禁止其活動，情節重大者並得沒入遙控無人機外，另處多少新臺幣之 罰鍰？,6萬元以上 30萬元以下。,3萬元以上 20萬元以下。,1萬元以上 8萬元以下。,8萬元以上 50萬元以下。,A
第一章 民用航空法及相關法規,47,遙控無人機之所有人或操作人違反「遙控無人機註冊或標明註冊號碼」之相關規定者， 除禁止其活動，情節重大者並得沒入遙控無人機外，另處多少新臺幣之罰鍰？,10萬元以上 48萬元以下。,8萬元以上 38萬元以下。,5萬元以上 28萬元以下。,3萬元以上 15萬元以下。,D
第一章 民用航空法及相關法規,48,遙控無人機之所有人或操作人違反「直轄市、縣(市)政府公告之區域、時間及其他管 理事項」之相關規定者，除禁止其活動，情節重大者並得沒入遙控無人機外，另處多少 新臺幣之罰鍰？,3萬元以上 15萬元以下。,5萬元以上 28萬元以下。,8萬元以上 38萬元以下。,15萬元以上 30萬元以下。,A
第一章 民用航空法及相關法規,49,遙控無人機之所有人或操作人違反「遙控無人機飛航活動應遵守之規定」者，除禁止其 活動，情節重大者並得沒入遙控無人機外，另處多少新臺幣之罰鍰？,10萬元以上 48萬元以下。,8萬元以上 38萬元以下。,5萬元以上 28萬元以下。,3萬元以上 15萬元以下。,D
第一章 民用航空法及相關法規,50,違反「射頻識別、檢驗、認可、維修與檢查、飛航活動之活動許可及內容、製造者與進 口者之登錄及責任、飛航安全相關事件之通報等事項」規定者，除禁止其活動，情節重 大者並得沒入遙控無人機外，另處多少新臺幣之罰鍰？,1萬元以上 150萬元以下。,5萬元以上 498萬元以下。,8萬元以上 798萬元以下。,10萬元以上 998萬元以下。,A
第一章 民用航空法及相關法規,51,遙控無人機和遙控設備間為操作飛行管理目的之資料鏈接，稱之？,網路鏈路。,通訊及控制信號鏈路。,電信鏈路。,光纖鏈路。,B
第一章 民用航空法及相關法規,52,計算遙控無人機之最大起飛重量 (MTOW) ，應包含下列哪些重量？,機體。,燃料、電池。,負載設備、酬載。,以上皆是。,D
第一章 民用航空法及相關法規,53,依據法規定義，於遙控無人機飛航活動期間，實際操控遙控無人機或指揮監督飛航活動 之人員稱之？,目視觀察員。,遙控無人機操作人。,任務協調員。,以上皆非。,B
第一章 民用航空法及相關法規,54,依據法規定義，持有遙控無人機操作證並於遙控無人機活動期間，提供實際操控遙控無 人機操作人必要飛航資訊之人員稱之？,設計者。,目視觀察員。,製造者。,遙控無人機所有人。,B
第一章 民用航空法及相關法規,55,遙控無人機依其構造可分為哪幾種？,無人飛機。,無人直昇機。,無人多旋翼機。,以上皆是。,D
第一章 民用航空法及相關法規,56,無人多旋翼機具有幾個以上之垂直傳動軸？,2個以上。,3個以上。,4個以上。,6個以上。,B
第一章 民用航空法及相關法規,57,何人應負飛航安全之責，對遙控無人機為妥善之維護，並從事安全飛航作業？,遙控無人機所有人及操作人。,遙控無人機設計者。,遙控無人機製造者。,遙控無人機改裝者。,A
第一章 民用航空法及相關法規,58,若遙控無人機飛航活動涉及 2位以上之操作者，下列敘述何者正確？,應指定 1人為決定權人，使得從事飛航活動。,不須指定決定權人即可從事飛航活動。,是否指定決定權人視任務性質而定。,以上皆非。,A
第一章 民用航空法及相關法規,59,下列何者較適合做為遙控無人機註冊號碼之標明處所？,起落架上。,螺旋槳面上。,機身未遮蔽之平整面上。,電池蓋上。,C
第一章 民用航空法及相關法規,60,註冊號碼應以標籤、鐫刻、噴漆或其他能辨識之方式標明，並於每次飛航時符合下列何 項要求？,確保不至脫落。,保持清潔。,能明顯辨識。,以上皆是。,D
第一章 民用航空法及相關法規,61,遙控無人機註冊號碼之標漆位置依法應位於何處？,固定結構內部。,固定結構外部。,轉動機構外部。,轉動機構內部。,B
第一章 民用航空法及相關法規,62,註冊號碼之顏色應以肉眼即能辨識，並應符合下列何項要求？,融入背景顏色。,與背景顏色相近。,與背景明顯反襯。,無特別規定。,C
第一章 民用航空法及相關法規,63,有關遙控無人機註冊號碼之使用，下列何者正確？,不得偽造。,不得變造。,不得矇領。,以上皆是。,D
第一章 民用航空法及相關法規,64,有關遙控無人機註冊號碼之使用，下列何者正確？,不得於任何未註冊之遙控無人機上使用。,可於他人未註冊之遙控無人機上使用。,可於自己所有未註冊之遙控無人機上使用。,使用狀況視遙控無人機型式而定。,A
第一章 民用航空法及相關法規,65,最大起飛重量超過一定重量之遙控無人機應具有射頻識別功能，其一定重量，係由下列 哪個機關公告之？,衛福部。,內政部。,科技部。,民航局。,D
第一章 民用航空法及相關法規,66,遙控無人機之設計、製造、改裝，可由何者提出型式檢驗申請？,設計者。,製造者。,改裝者。,以上皆可。,D
第一章 民用航空法及相關法規,67,遙控無人機之設計、製造、改裝，應檢附申請書向哪個機關申請型式檢驗？,民航局。,衛福部。,內政部。,科技部。,A
第一章 民用航空法及相關法規,68,自國外進口之遙控無人機，應由何者依規定向民航局申請型式檢驗？,操作人。,所有人。,進口者。,設計者。,C
第一章 民用航空法及相關法規,69,遙控無人機於設計、製造、改裝階段為驗證性能諸元所需之試飛，應檢附文件向哪個機 關申請試飛活動？,衛福部。,內政部。,科技部。,民航局。,D
第一章 民用航空法及相關法規,70,最大起飛重量 25公斤以上之遙控無人機，為確保其符合設計、製造、改裝之性能諸元， 應由何者提出實體檢驗申請？,操作人。,所有人。,設計者。,製造者。,B
第一章 民用航空法及相關法規,71,最大起飛重量 25公斤以上之遙控無人機，為確保其符合設計、製造、改裝之性能諸元， 應向哪個機關申請實體檢驗？,民航局。,衛福部。,內政部。,科技部。,A
第一章 民用航空法及相關法規,72,自行製造、使用之最大起飛重量 25公斤以上遙控無人機，何人可提出合併型式檢驗及實 體檢驗之申請？,製造者。,操作人。,所有人。,設計者。,C
第一章 民用航空法及相關法規,73,自行製造、使用之最大起飛重量 25公斤以上遙控無人機，可向哪個機關提出合併型式檢 驗及實體檢驗之申請？,內政部。,民航局。,科技部。,衛福部。,B
第一章 民用航空法及相關法規,74,實體檢驗合格證或特種實體檢驗合格證之記載事項如有變更時，下列敘述何者正確？,製造者應於事實發生日起 15日內申請換發。,設計者應於事實發生日起 10日內申請換發。,操作人應於事實發生日起 7日內申請換發。,所有人應於事實發生日起 15日內申請換發。,D
第一章 民用航空法及相關法規,75,有關遙控無人機製造者與進口者申請產品資訊登錄時機，下列敘述何者正確？,販售或進口前。,販售或進口時。,販售或進口後。,以上皆可。,A
第一章 民用航空法及相關法規,76,遙控無人機製造者與進口者應向哪個機關申請產品資訊登錄？,內政部。,科技部。,民航局。,經濟部。,C
第一章 民用航空法及相關法規,77,最大起飛重量 25公斤以上之遙控無人機因系統設計、製造或改裝缺失而致有不安全情況 時，下列何者為非？,設計者應針對該缺失採取補正措施。,製造者應針對該缺失採取補正措施。,改裝者應針對該缺失採取補正措施。,無須採取任何補正措施。,D
第一章 民用航空法及相關法規,78,操作政府機關(構) 、學校或法人所有遙控無人機之操作人應持有民航局發給之何種證 照，始得操作？,機師檢定證。,操作證。,維修檢定證。,鑑定合格證。,B
第一章 民用航空法及相關法規,79,有關遙控無人機操作證之分類，下列何者為非？,暫時操作證。,普通操作證。,專業操作證。,學習操作證。,A
第一章 民用航空法及相關法規,80,自然人欲以遙控無人機從事休閒娛樂用途，下列有關考照需求敘述何者正確？,操作 10公斤且裝置導航設備之遙控無人機不需考照。,操作未達 2公斤之遙控無人機不須考照。,操作 15公斤以上之遙控無人機僅需通過學科測驗。,操作未達 2公斤之遙控無人機須通過學科測驗。,B
第一章 民用航空法及相關法規,81,申請遙控無人機專業操作證者，其術科測驗應於學科測驗通過日起多久內完成，否則應 重新申請學科測驗？,3個月內。,6個月內。,9個月內。,1年內。,D
第一章 民用航空法及相關法規,82,操作人從事遙控無人機活動，應於何時依製造者所提供之維修指引對遙控無人機系統進 行檢查，以符合安全飛航條件後始得活動？,應於飛航活動前執行。,應於飛航活動後執行。,應於飛航活動中執行。,任何時間均可執行。,A
第一章 民用航空法及相關法規,83,操作人從事遙控無人機飛航活動前，下列何者非為主要考量因素？,氣象條件。,空域、飛航限制。,其他空中或地面之危害因素。,操作者家庭狀況。,D
第一章 民用航空法及相關法規,84,有關操作人欲於載具上操作遙控無人機以進行飛航活動，下列敘述何者錯誤？,可於固定之導控站上操作。,可於固定之車輛上操作。,可於移動中之航空器上操作。,可於固定之船艦上操作。,C
第一章 民用航空法及相關法規,85,哪些單位應檢附文件向民航局申請核准後，始得從事遙控無人機飛航活動？,政府機關(構) 。,學校。,法人。,以上皆是。,D
第一章 民用航空法及相關法規,86,政府機關(構) 、學校或法人欲於直轄市、縣(市)政府公告之禁止、限制區域內從事遙 控無人機飛航活動者，應至少於活動日前多久檢附計畫書提出申請？,30日前。,20日前。,15日前。,10日前。,C
第一章 民用航空法及相關法規,87,最大起飛重量 2公斤以上且裝置導航設備之遙控無人機遭受實質損害或失蹤時，所有人 或操作人應於發生或得知消息後多久內填具飛航安全相關事件報告表通報民航局？,6小時內。,12小時內。,24小時內。,48小時內。,C
第一章 民用航空法及相關法規,88,當遙控無人機發生與其他航空器或障礙物接近或碰撞之事故時，所有人或操作人應於發 生或得知消息後多久內填具飛航安全相關事件報告表通報民航局？,6小時內。,12小時內。,24小時內。,48小時內。,C
第一章 民用航空法及相關法規,89,當發生遙控無人機飛航安全相關事件時，民航局針對操作人可採取哪項措施？,得逕為暫停其操作或飛航活動。,經操作人同意後，得暫停其操作或飛航活動。,經所在地方政府同意後，得暫停其操作或飛航活動。,需待調查結束後並經操作人同意，使得暫停其操作或飛航活動。,A
第一章 民用航空法及相關法規,90,根據「遙控無人機管理規則」內容，各項申請及通報作業可透過何處以電子化方式為 之？,地方政府所建置之資訊系統。,民航局所指定之資訊系統。,財政部所建置資訊系統。,經濟部所建置資訊系統。,B
第一章 民用航空法及相關法規,91,遙控無人機經型式檢驗合格後，除因改裝需重新辦理檢驗及註冊異動外，是否需再辦理 定期檢驗？,仍需再辦理定期檢驗。,無需再辦理定期檢驗。,操作人認為有需要則應再辦理定期檢驗。,所有人認為有需要則應再辦理定期檢驗。,B
第一章 民用航空法及相關法規,92,遙控無人機於發生飛航安全相關事件後，何人應負責進行通報？,僅有所有人。,僅有操作人。,所有人或操作人。,操作人之親屬。,C
第一章 民用航空法及相關法規,93,操作人未經獲准從事視距外之遙控無人機飛航活動，除不得使用矯正鏡片外之任何工具  做延伸視距飛航外，另須遵守哪項飛航範圍限制？,須於信號鏈路有效範圍內操作。,須於目視範圍內操作。,須於自動駕駛有效範圍內操作。,須於安全油量範圍內操作。,B
第一章 民用航空法及相關法規,94,有關政府機關(構) 、學校或法人欲執行獲民航局許可之遙控無人機飛航任務，下列敘述 何者正確？,飛航任務後應向民航局申請該次活動許可。,飛航任務時應向民航局申請該次活動許可。,飛航任務前應向民航局申請該次活動許可。,不須向民航局申請該次活動許可。,C
第一章 民用航空法及相關法規,95,遙控無人機管理規則針對「延伸視距飛航」之定義，下列何者為非？,操作人須於視距外操作。,目視觀察員須距 遙控無人機 半徑三百公尺範圍內。,操作人應自目視觀察員獲取必要飛航資訊。,目視觀察員不須與遙控無人機保持直接目視接觸。,D
第一章 民用航空法及相關法規,96,遙控無人機管理規則如何定義「延伸視距最大範圍」？,以遙控無人機操作人為中心，半徑 900公尺、相對地面或水面高度低於 400呎內之 區域。,以遙控無人機操作人為中心，半 徑600公尺、相對地面或水面高度低於 300呎內之 區域。,以遙控無人機操作人為中心，半徑 500公尺、相對地面或水面高度低於 200呎內之 區域。,"以遙控無人機操作人為中心，半徑 1,200公尺、相對地面或水面高度低於 200呎內 之區域。",A
第一章 民用航空法及相關法規,97,針對自然人所有之遙控無人機，法規明訂其最大起飛重量達多少以上，即應辦理註冊？,250公克以上。,1公斤以上。,2公斤以上。,15公斤以上。,A
第一章 民用航空法及相關法規,98,遙控無人機發生滅失情形者，其所有人申請註銷註冊之程序為何？,事實發生日起 15日內向民航局申請。,事實發生日起 20日內向民航局申請。,事實發生日起 15日內向所在地方政府申請。,事實發生日起 20日內向所在地方政府申請。,A
第一章 民用航空法及相關法規,99,遙控無人機註冊號碼之有效期限為幾年？,1年。,2年。,3年。,4年。,B
第一章 民用航空法及相關法規,100,法規規定最大起飛重量達多少以上且裝置導航設備之遙控無人機，應具備防止其進入 禁、限航區及航空站或飛行場四周一定距離範圍內之圖資軟體系統？,250公克以上。,1公斤以上。,2公斤以上。,15公斤以上。,B
第一章 民用航空法及相關法規,101,遙控無人機實體檢驗合格證之有效期限為幾年？,1年。,2年。,3年。,4年。,C
第一章 民用航空法及相關法規,102,持有普通操作證之自然人，依規定得操作下列哪個重量級距之遙控無人機？,15公斤以上之遙控無人機。,25公斤以上之遙控無人機。,未達 15公斤且裝置導航設備之遙控無人機。,30公斤以上之遙控無人機。,C
第一章 民用航空法及相關法規,103,持有普通操作證及專業操作證對於可操控之遙控無人機重量界線為何？,1公斤。,2公斤。,15公斤。,25公斤。,C
第一章 民用航空法及相關法規,104,針對學習操作證之敘述，下列何者為非？,申請者應年滿 16歲。,持有者須於具備普通或專業操作證之操作人在旁指導監護下，使得操作。,持有者所操作遙控無人機構型不受限制。,持有者所操作遙控無人機重量不得逾 15公斤。,C
第一章 民用航空法及相關法規,105,針對專業操作證之敘述，下列何者正確？,分為初、中、高等 3級。,持有者僅須通過學科測驗。,持有者得執行獲核准之法人委託業務。,持有者無須經過體格檢查。,C
第一章 民用航空法及相關法規,106,申請遙控無人機專業操作證者，其術科測驗應於學科測驗通過日起多久內完成？,3個月內。,6個月內。,9個月內。,1年內。,D
第一章 民用航空法及相關法規,107,操作人操作遙控無人機時，血液中酒精濃度依法不得超過多少？,0.01%。,0.02%。,0.04%。,0.06%。,B
第一章 民用航空法及相關法規,108,最大起飛重量未達 25公斤且裝置導航設備之遙控無人機，其最大飛行速度不得超過多 少？,70海浬 /小時。,87海浬 /小時。,100海浬 /小時。,150海浬 /小時。,B
第一章 民用航空法及相關法規,109,政府機關(構) 、學校或法人欲於禁、限航區及航空站或飛行場四周一定距離範圍內從事 遙控無人機飛航活動者，應於活動日前多久提出申請？,15日前。,10日前。,5日前。,3日前。,A
第一章 民用航空法及相關法規,110,政府機關(構) 、學校或法人於涉及軍事航空管理機關(構)管理之禁、限航區及航空站 或飛行場四周一定距離範圍內從事遙控無人機飛航活動者，應於活動日前多久提出申 請？,30日前。,20日前。,15日前。,10日前。,A
第一章 民用航空法及相關法規,111,政府機關(構) 、學校或法人於直轄市、縣(市)政府公告之禁止、限制區域內從事遙控 無人機飛航活動時，如有跨縣市飛航情形，應向哪個機關提出申請？,飛經之直轄市、縣(市)政府。,起飛地點所在直轄市、縣(市)政府提出申請，經所在地及跨縣市政府同意。,降落地點所在直轄市、縣(市)政府。,降落地點所鄰近直轄市、縣(市)政府。,B
第一章 民用航空法及相關法規,112,當災害發生時，欲於各級政府依災害防救法劃定之警戒區域或指定區域內從事遙控無人 機飛航活動者，應聽從何者之統一指揮調度？,民航局局長。,當地警察局局長。,當地消防局局長。,各級政府災害應變中心指揮官。,D
第一章 民用航空法及相關法規,113,政府機關(構) 、學校或法人依法應保存遙控無人機之註冊號碼、活動日期、活動區域、 飛航時間、飛航性質、操作人員姓名、維護或修理、改裝等紀錄，並應保存多久？,1年。,2年。,3年。,5年。,B
第一章 民用航空法及相關法規,114,有關外國人領有外國政府所核發遙控無人機相關證照者，應向民航局申請認可後使得於 本區從事遙控無人機飛航活動之規定，是否亦適用於領有外國政府核發證照之本國人？,是，本國人亦適用。,否，本國人不適用。,視活動時間決定適用與否。,視活動性質決定適用與否。,B
第一章 民用航空法及相關法規,115,某合格無人機業務團隊受委託以遙控無人機執行山區電纜線路查檢工作。惟因路況不 佳，該團隊無法抵達預訂工作區域，為不影響任務進行，成員臨時決定仍將無人機飛至 工作區，並以望遠鏡保持與其間之視線接觸。請問該團隊之決定是否違反無人機相關規 範？,並無違反遙控無人機相關規範。,已違反遙控無人機相關規範。,有無違反規範視任務執行結果而定。,資訊不足，無法判斷。,B
第一章 民用航空法及相關法規,116,某無人機團隊獲准於機場跑道上空測試某項酬載功能，有人建議飛得越高越能展現測試 成果，請問操作人對於該建議應有哪項認知？,活動既經核准，即無飛航高度限制，想飛多高就多高。,飛航高度未經核准，仍應遵守距地表面不得逾 400呎之規定。,飛航高度聽從現場指揮人員視任務執行狀況決定。,飛航高度視能見度好壞決定。,B
第一章 民用航空法及相關法規,117,某無人機團隊正擬定拍攝一大型廟會活動之飛航計畫，請問該團隊對於其執行之任務， 應有下列何種正確認知？,團隊技術高超，拍攝時無須特別防護工作。,為達拍攝效果，於任務中任意變換無人機飛航高度甚至接近人群是可以接受的。,重量較輕的無人機相對危害較小，故可隨意飛近目標物進行拍攝。,操作人應領有相應專業操作證，且於執行任務前應申請活動許可。,D
第一章 民用航空法及相關法規,118,無人機團隊正在作飛行前準備，臨時被告知因緊急狀況，無人機於飛航時必須裝載由民 航局公告之危險物品，請問操作人該有下列哪項正確認知？,僅要能確保無人機飛航時之平衡及控制穩定，即同意該要求，否則拒絕該要求。,未經核准前，依規定不得以無人機裝載危險物品，應直接拒絕該要求。,如該危險物品之包裝完好且易固定，即同意該要求，否則就拒絕該要求。,因為緊急狀況，應無條件同意該要求。,B
第一章 民用航空法及相關法規,119,某款遙控無人機搭載攝影機及 GPS等裝備，可利用圖傳系統於螢幕上即時傳輸圖像，請 問操作人於操作該款無人機時，對於即時傳輸圖像功能應具有下列哪項正確認知？,可完全信賴，操作時不必再監視無人機飛航及其周遭狀況。,只要搭載攝影裝備解析度夠好，即不必再監視無人機飛航及其周遭狀況。,只要操作人技術夠純熟，即不必再監視無人機飛航及其周遭狀況。,無論是否搭載圖傳裝備，操作人仍應隨時監視無人機之飛航及其周遭狀況。,D
第一章 民用航空法及相關法規,120,遙控無人機飛航活動對於其他航空器活動、地面人群及建築物所帶來之影響顯而易見， 請問就操作人而言，應有下列哪項正確觀念？,反正其他目標物均很明顯，發現時再緊急避讓即可。,應於可操作區域進行飛航、遵守相關規定，隨時注意並防止無人機接近任何其他目 標物。,只要於可操作區域內飛航，無人機是否接近其他目標物非操作者的責任。,進行無人機飛航活動時，若有目視觀察員在側，由目視觀察員全權負責無人機與其  他目標物之隔離工作。,B
